Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature,Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
Budweiser,18.69,4.6,242,American-Style Lager,"Missouri, United States",,5%,12,"Balanced, Grainy, Round","Beef, Chicken, Nuts",Pint Glass,35-40° F,,,
Heineken Silver Lager,19.99,4.6,5,Lager,Netherlands,,4%,5,,,,,95,3.2,
Michelob Ultra Organic Seltzer - Classic Collection,19.99,4.4,3,Hard Seltzer,"Missouri, United States",Variety Pack,4%,,,,Snifter/Goblet/Chalice,40-45° F,90,0,Organic
Coors Light American Lager Beer,14.59,4.7,312,Light Lager,United States,,4.2%,10,"Crisp, Dry, Light, Smooth","Nuts, Chicken",Pint Glass,35-40° F,102,5,
Corona Extra Lager Mexican Beer,19.99,4.7,2930,Pilsner,Mexico,,4.6%,18,"Dry, Grainy, Light, Neutral","Nuts, Chicken",Pint Glass,35-40° F,148,13.9,Gluten Reduced
Bud Light,17.99,4.7,423,Light Lager,"Missouri, United States",,4.2%,10,"Crisp, Dry, Light, Smooth","Nuts, Cured Meats",Pint Glass,35-40° F,110,6.6,
Michelob Ultra,16.99,4.7,264,Light Lager,"Missouri, United States",,4.2%,10,"Bright, Grainy, Light, Malty","Beef, Nuts",Pint Glass,35-40° F,95,2.6,
Dos Equis Lager,18.99,4.7,84,American-Style Lager,Mexico,,4.2%,10,"Balanced, Biscuit, Crisp, Fresh, Smooth","Beef, Nuts",Pint Glass,35-40° F,131,11,
Busch Light,22.29,4.6,47,Light Lager,"Missouri, United States",,4.1%,,"Dry, Light","Nuts, Chicken",Pint Glass,35-40° F,95,3.2,
Miller Lite Lager Beer,14.59,4.7,312,Light Lager,"Wisconsin, United States",,4.2%,10,"Crisp, Dry, Light, Smooth","Nuts, Chicken",Pint Glass,35-40° F,96,3.2,
White Claw Hard Seltzer Variety Pack No. 1,20.89,4.7,239,Hard Seltzer,"Illinois, United States",Variety Pack,5%,,,,"Pint Glass, Mason Jar",40-45° F,100,2,Gluten-Free
Michelob Ultra,16.99,4.7,264,Light Lager,"Missouri, United States",,4.2%,10,"Bright, Grainy, Light, Malty","Beef, Nuts",Pint Glass,35-40° F,95,2.6,
Modelo Especial Lager Mexican Beer,19.99,4.8,1260,American-Style Lager,Mexico,,4%,18,"Grainy, Light, Malty","Beef, Nuts",Pint Glass,35-40° F,143,13.6,
Stella Artois,19.98,4.8,180,Pale Lager,United States,,5%,24,"Balanced, Bready, Grainy, Neutral","Cured Meats, Dessert - Chocolate & Coffee, Nuts",Pilsner Glass,40-45° F,,,
Budweiser,18.69,4.6,242,American-Style Lager,"Missouri, United States",,5%,12,"Balanced, Grainy, Round","Beef, Chicken, Nuts",Pint Glass,35-40° F,,,
Heineken Lager,19.99,4.7,167,Lager,Netherlands,,5%,19,"Grainy, Herbal, Light","Cheese - Nutty & Semi-Firm, Cheese - Stinky",Pint Glass,40-45° F,,,Gluten Reduced
White Claw Hard Seltzer Variety Pack No. 2,20.97,4.7,83,Hard Seltzer,"Illinois, United States",Variety Pack,5%,,,,Snifter/Goblet/Chalice,40-45° F,100,2,Gluten-Free
Blue Moon Belgian White Wheat Craft Beer,19.99,4.8,143,Witbier,"Colorado, United States",Craft,5.4%,9,"Spicy, Floral, Citrus, Smooth","Fish - White, Cheese - Fresh & Soft",Snifter/Goblet/Chalice,45-50° F,,,
White Claw Black Cherry Hard Seltzer,11.49,4.7,90,Hard Seltzer,"Illinois, United States",,5%,,"Crisp, Flavored, Fruity","Salads & Greens, Nuts","Pint Glass, Mason Jar",40-45° F,100,2,Gluten Reduced
Topo Chico Hard Seltzer Variety Pack,20.89,4.7,36,Hard Seltzer,"Wisconsin, United States",Variety Pack,4.7%,,"Fresh, Fruity, Guava, Pineapple, Tropical Fruit",,Snifter/Goblet/Chalice,40-45° F,100,,Gluten-Free
White Claw Hard Seltzer Variety Pack No. 3,20.99,4.8,50,Specialty Beer & Alternatives,"Illinois, United States",,5%,,"Crisp, Flavored, Fruity",,Snifter/Goblet/Chalice,40-45° F,100,2,Gluten-Free
